Essential Genes	Chokepoint Reactions	Essential chokepoint genes
	PDHbr	
	AMPEP15	
	TYRTA	
	EX_cl_e	
	FDH	
	CU2tpp	
	EX_succ_e	
	COBALT2tpp	
	BKDA2	
	TMDS	
	MNt2	
	PYDXNK	
	DHAD3	
	SERtex	
	R1PI	
	CAt6pp	
	IPMD	
	EX_ser__L_e	
	SDPDS	
	BZtex	
	EX_adn_e	
	PYNP2r	
	DGMPtex	
	PPCDC	
	DHNCOAS	
	THPAT	
	CD2tpp	
	H2O2tex	
	NADDPp_1	
	SUCBZS	
	HG2tppi	
	MTHFC	
	ADADir	
	BTS	
	MDNTHAep	
	MEPCT	
	GALUi	
	OAAtex	
	EX_ocdca_e	
	TYRabc	
	ENO	
	EX_lys__L_e	
	SPODM	
	URIDK2r	
	MECDPDH4E	
	PDYXPT_c	
	26DAHtex	
	ADNtex	
	SO4tex	
	MECDPS	
	EX_cit_e	
	EX_4abutn_e	
	NADS1	
	PUNP4	
	PFK_3	
	EX_tag180_e	
	TNTHAC1	
	EX_phe__L_e	
	ACTD_1	
	TAGLIPA181d9ex	
	BDH	
	G5SD	
	GLDBRAN2	
	r0963	
	DAPDA	
	EX_co2_e	
	EX_tag181d9_e	
	SSCOARy	
	3CMPt6	
	EX_asn__L_e	
	DABAAT2	
	EX_thm_e	
	PDX5POi	
	EX_fum_e	
	INOST_Et	
	ICHORS	
	PMDPHT	
	DAAOP	
	EX_ocdcea_e	
	TNTtpp	
	CYO1_KT	
	SHKK	
	G5SADs	
	SELtpp	
	UDCPDPS	
	HSTPTr	
	HMR_6515	
	PSUDS	
	DHPPDA2	
	INSTt2	
	EX_35dnta_e	
	EX_ppap_e	
	AMMQLT8	
	OAAt2_2pp	
	DMATT	
	METSOXR1	
	ASR2	
	NNATr	
	UAGPT3	
	EX_sel_e	
	CMCBTFU	
	METGL	
	FUMt2_2pp	
	BTS_nadph	
	HACOADr	
	2ACLMM	
	EX_4hphac_e	
	GLUtex	
	HG2t3pp	
	URAt	
	EX_met__D_e	
	SEPHCHCS	
	NACt	
	UAAGDS	
	MALDt2_2pp	
	SELtex	
	L_LACt2rpp	
	SERtpp	
	NDPK6	
	NADH4	
	ALAALAr	
	FE3DCITR5	
	NTD3pp	
	ICITRED	
	DHPDO	
	EX_acald_e	
	OSUCCL	
	PGAMT	
	RBFSa	
	TNTHAC2	
	CMCBTFL	
	LYSabc	
	ACOADH2	
	UAMAGS	
	r2465_1	
	GTHOr	
	EX_id3acald_e	
	EX_2m35mdntha_e	
	CMCMSAD	
	EX_no2_e	
	MG2tex	
	METDabcpp	
	ACLSb	
	PROHISGLUtr	
	UDCPDP	
	URAtex	
	CYANST	
	ACALDt	
	St	
	CCPpp	
	OXAt_1	
	EX_so4_e	
	GLUR	
	UMPK	
	CYSDSF	
	CITtex	
	UHBZ1t_pp	
	DGSNt2pp	
	5DGLCNR	
	TNTR1	
	CYANtex	
	EX_tre6p_e	
	PUNP1	
	3SALATAi	
	PNTOt2	
	Growth	
	GUAPRT	
	TRE6PS	
	TYRTAi	
	GRTT	
	HSTPT	
	EX_h2o2_e	
	HPROa	
	ADK2	
	DCYTt2pp	
	IPPMIb	
	PIt2rpp	
	MGt2pp	
	PGMT	
	Clt	
	COBALTt5	
	ARGabcpp	
	ILETA	
	LCTStpp	
	CYTK2	
	G1PACT	
	ACLS_d	
	PRPPS	
	NTD8pp	
	FALDtpp2	
	EX_cyan_e	
	EX_thr__L_e	
	ASPA2	
	ILEabcpp	
	METSR_S1	
	CU2tonex	
	5DKGR	
	METOX2s	
	FBA3	
	EX_dcmp_e	
	FALDtpp	
	IND3ACtpp	
	GCDH	
	PYDXS	
	THDPS	
	METDtex	
	EX_pi_e	
	LACLt2	
	EX_s_e	
	EX_pydxn_e	
	DB4PS	
	EX_tyr__L_e	
	ADOCBIK	
	MMSDHir	
	EX_zn2_e	
	OHEDH	
	GLXO3r	
	DAPabcpp	
	CYANt2pp	
	HMR_9638	
	OCOAT1	
	TRE6P_Et	
	SO4t4pp_1	
	EX_oxa_e	
	EX_aso4_e	
	DNTAep	
	DHNAOT4	
	ILEtex	
	SELTt	
	DHQS	
	EX_ile__L_e	
	TNTR2	
	KARI_1	
	ASNabc	
	EX_tag160_e	
	G6PDH2r	
	UAMAS	
	UAPGR	
	APRAUR	
	DTMPK	
	GLUTCOADHc	
	TMDPK	
	3HBCOAHL	
